start_ms,end_ms,error
51.68592,54.25365,5.4642118043927175
52.34856,54.91629,5.899623525314757
52.51422,55.08195,5.686498618217754
52.67988,55.24761,6.149663613861393
52.76271,55.33044,5.580432925382236
52.84554,55.41327,5.670217127728609
53.0112,55.57893,6.110890694322155
53.17686,55.74459,5.658559817775242
53.34251999999999,55.91025,6.145048525237227
53.42535,55.99308,5.536001675770679
53.50818,56.07591,5.638795302674693
53.67384,56.24157,6.162983282324179
53.75667,56.3244,5.479829813167202
53.8395,56.407230000000006,5.537212435081211
54.00516,56.57289,5.708797439697904
144.20703,146.77476,13.369982712452188
144.28985999999998,146.85759,36.81734358244934
144.37269,146.94042000000002,33.105021127076874
144.45551999999998,147.02325,17.01419699736792
144.53835,147.10608,21.98773520670578
144.62117999999998,147.18891,26.05016379930891
144.70401,147.27174,33.72145418958721
144.78683999999998,147.35457,26.45525221497078
144.86967,147.4374,28.714790093802907
144.9525,147.52023,29.13447736020055
145.03533,147.60306,34.98916550785486
145.11816000000002,147.68589,28.725829200767805
145.20099,147.76872,29.399479169754894
145.28382000000002,147.85154999999995,31.612719026392963
145.36665,147.93438,34.990841226442015
145.44948000000002,148.01721,29.516355958144878
145.53231,148.10004,30.16663332194281
145.61514000000005,148.18287,31.531322488689703
145.69797,148.2657,35.9549104548244
145.7808,148.34853,30.77801188029808
145.86363,148.43135999999998,30.742722130359315
145.94646,148.51419,31.91293036763881
146.02929,148.59702,36.09421252868377
146.11212,148.67985000000002,30.950963288462074
146.19495,148.76268,30.516910085048476
146.27778,148.84551000000002,31.85072431119854
146.36060999999998,148.92834,36.48100830786962
146.44344,149.01117000000002,30.791996190563744
146.52626999999998,149.094,32.35576972983683
146.6091,149.17683,33.54485503814161
146.69193,149.25966,29.751822078743047
146.77476,149.34249,33.552816967534454
146.85759,149.42532,26.47587200998854
146.94042000000002,149.50815,25.678659527712906
147.02325,149.59098,12.286195026631463
147.10608,149.67381,9.75256392713982
147.18891,149.75664,9.10815220460545
195.89295,198.46068,6.978476556591094
195.97578,198.54351,8.189376180915627
196.05861,198.62634,7.729804140163223
196.14144,198.70917,8.051081401366421
196.22427,198.792,9.399947621966934
196.3071,198.87483,8.152303139967172
196.38993,198.95766,8.168095359391613
196.47276,199.04049,8.211334062293291
196.55559,199.12332,9.982661167831838
196.63842,199.20615,8.314610568841676
196.72125,199.28898,8.573032791573384
196.80408,199.37181,8.32132377270863
196.88691,199.45464,9.775904348381808
196.96974,199.53747,8.579491256597935
197.05257,199.6203,8.698702703277776
197.1354,199.70313,8.529710267458313
197.21823,199.78596,9.852390144506632
197.30106,199.86879,8.920924103802028
197.38389,199.95162,8.891938092998853
197.46672,200.03445,8.50462245817195
197.54955,200.11728,9.670550582399745
197.63238,200.20011,8.580354992044137
197.71521,200.28294,8.82642972279565
197.79804,200.36577,8.414660956244491
197.88087,200.4486,9.724688955406338
197.9637,200.53143,8.489899060714642
198.04653,200.61426,8.39150674873072
198.12936,200.69709,9.444937431673186
198.21219,200.77992,8.089942375354491
198.29502,200.86275,6.789268169531241
198.37785,200.94558,7.021498546124225
198.46068,201.02841,6.370399086541912
198.54351,201.11124,5.581334142915011
391.7859,394.35363,5.484970539638443
391.95156,394.51929,5.416370723943353
392.11722,394.68495,6.036509219632756
392.20005,394.76778,6.633155188221452
392.28288,394.85061,6.6941511899551625
392.36571,394.93344,8.117099477607262
392.44854,395.01627,8.525525370405465
392.53137,395.0991,10.369760139851328
392.6142,395.18193,10.711552273981223
392.69703,395.26476,12.01642061269708
392.77986,395.34759,12.303706590599688
392.86269,395.43042,12.417004538981068
392.94552,395.51325,11.939247829433052
393.02835,395.59608,12.61097419527542
393.11118,395.67891,13.164391040641432
393.19401,395.76174,13.315429550437695
393.2768400000001,395.84457,12.597806309253363
393.35967,395.9274,12.06457144234366
393.4425,396.01023,11.928333567194667
393.52533,396.09306,11.50634348601168
393.60816,396.17589,11.3101391981913
393.69099,396.25872,11.525595191960324
393.77382,396.34155,11.620574034560393
393.85665,396.42438,11.071245424116475
393.93948,396.50721,10.569279094590524
394.02231,396.59004,10.431508822849525
394.10514,396.67287,10.597600149896056
394.18797,396.7557,10.487295598521152
394.2708,396.8385300000001,10.267827291123506
394.35363,396.92136,10.340082904121166
394.43646,397.00419,10.282268793985594
394.51929,397.08702,9.21918708706285
394.60212,397.16985,9.779665277735235
394.68495,397.25268,9.584411294802875
394.76778,397.33551,9.330830690020619
394.85061,397.41834,8.724101304328569
394.93344,397.50117,9.144186334984898
395.01627,397.584,6.475969320857189
395.0991,397.66683,5.967163235987295
444.21729,446.78502,13.018314716491538
444.30012,446.86785,56.329242198594315
444.38295,446.95068,83.89880753361507
444.46578000000005,447.03351,90.86947817667068
444.54861,447.11634,113.5669379230608
444.63144,447.19917,121.93698729955801
444.71427,447.282,106.41454443478327
444.7971,447.36483,127.11482914074895
444.87993,447.44766,114.50316246699555
444.96276,447.53049,122.54320936237785
445.04559,447.61332,108.69550346915331
445.12842,447.6961500000001,119.14549592107844
445.21125,447.77898,114.10397187126149
445.29408,447.86181,125.43754931529942
445.37691,447.94464,111.62439215095313
445.45974,448.02747,119.00946360694242
445.54257,448.1103,113.18886926112174
445.6254,448.19313,125.07827895868601
445.70823,448.27596,111.83131776248072
445.79106,448.35879,118.56210480517656
445.87389,448.44162,113.08233781555813
445.95672,448.52445,125.08041604351926
446.03955,448.60728,110.35149994049301
446.12238,448.69011,116.25277282887708
446.20521,448.77294,111.2597295236933
446.28804,448.85577,125.02410098976469
446.37087,448.9386,108.4001772705923
